-45,-3,-56,-70,133,-96|-37,-42,-48,-107,26,175
198,-95,190,186,78,-164|100,-24,-150,-74,-86,59
110,-45,-106,-28,142,39|166,126,-199,-170,-193,-31
-183,-1,-138,-43,-161,-151,-54|-119,44,162,78,-37,59,140
81,-76,-175,26,193,114,88,31,-102,-91|-7,63,111,21,94,6,8,69,163,-70
122,124,60,-104,129,-30,151,-130,-36|-71,-16,45,-34,-4,37,-197,-113,-49
-177,-149,-166,82,27,43,145,-30,-100|-25,124,168,129,89,-169,132,-145,143
-60|106
36,97,164,40,-33,35,-115,183|-9,63,-161,-151,-36,-101,-87,-9
-105,40,-197,198,73,-76,-6,106,26|-191,120,-121,158,152,-90,-176,187,-184
52,-170,-200,197|59,193,146,109
-45,110,-81,40,-171,188,-8,136,147,-6|-42,154,196,28,50,89,-69,-21,-99,-86
-115,-41,-13,88|134,200,-154,-161
-76,113,-69,-114,101|-61,-41,-56,-64,-59
30,-73,-17,147|-52,-171,1,47
190,-37,-42,-172,164,83,176,-183,184|-160,90,-181,85,38,-80,15,-9,-92
-130,157,-17,126,88|188,-25,-176,-70,50
97,76,198,-54|175,-149,-171,-67
92,-125|-164,-74
96,60,96,188,199|-117,-69,65,-15,46
-146,90,-82,43|169,-125,-50,-8
52,28,71|9,-97,-2
124,-152,196|31,-114,59
-28,-65,-148,119,20,74,-123,126|-150,101,-104,105,-146,-75,60,-133
-186,-81,60,-152,-63,51,170,155|-6,139,-145,173,108,81,5,165
82,87,149|-120,-159,175
-179,115,-18|124,-123,-42
-188,24,183,-24,-50,-21,-180,151,-121,119|-89,-140,-142,-135,-87,50,-37,-100,161,-11
32,14,76|-35,34,83
-19,106,-59,-68,125,79,14|-192,5,-113,8,183,105,-95
105,-22,-75,13,-112,158|-18,-161,48,-87,-93,-192
-67,-105,155,-35|-7,65,-30,-84
-12,135,116,37|33,184,-102,38
-163,36,187,-20,-154,76,132,19,-100,-185|-124,-6,66,-163,85,64,-187,118,20,17
74,73,44,130,-197|-124,50,45,179,-52
-145,68,119,-36|184,-13,-181,198
21,53,70,116,5|108,-61,100,76,2
-66,-35,142,-30,170,-27,55,-147|32,28,-163,117,115,-130,-123,-98
-186|193
21,-58,-168,99,-190,156,-164,166,17,2|-130,192,14,135,-75,-68,-160,-117,13,-64
-177,83,-11|138,-160,73
-125|29
44,-99,-91,-5,-180,120,178,-138|161,-9,140,167,-50,9,-198,-118
-32,-140|-16,-177
0,161|41,168
-74,-8,38,68|-124,-28,-185,-36
-145|158
59,7,54,16,173|108,134,-141,173,72
-96,-3,-50,-60,8,-143,-42,-77,-31,-160|19,188,165,-23,-97,-37,-81,-25,-72,101
-35,47,-165,75,61|121,166,200,154,-169
152,-25,33,-192,-153,55|-107,44,180,55,-194,-118
-168|-145
27|142
-48,-135|90,50
45,182,156,-167|-99,-100,-124,170
44,-161,-12,181,18,-116,54,195,31,129|34,-180,-42,-15,107,9,-185,175,-188,-161
12|114
161,-200,-37,-189,157,-79,77,180,-147|-134,-80,-197,37,125,159,76,197,-148
-199,148,-107,-129,-161,101,140,-196,-24|92,-25,72,-55,-74,-120,-41,-28,43
187,-24,15,-71,108,130,40,152,87|-108,-170,-187,-60,43,-79,-62,-165,-17
-85,169,-11,-100|124,-196,191,162
60,31,-189,137,112,174,73|100,-157,44,117,-69,-151,134
132,-70,-88,-15,139,2|-142,184,-31,145,-199,72
89,-170,125,-43,125,43,8,-195,132|169,-191,-109,-6,-81,-193,171,194,163
-146,69,4,197,-154,-94,117,-3,133|59,-69,129,4,-46,173,138,114,-187
-37,169,173,63,-115,-188|-54,-111,122,38,171,-142
-66,-113,156,2,-180,-61|-180,158,55,-164,27,34
31,175,-115,14,13,-153|138,-162,146,-2,-97,-77
-5,-113,39,195,-4,62,30|-155,-38,-89,91,-192,-58,-81
35,-25,191,24,-159,74,-44,113|-98,120,-71,-140,-172,22,-84,192
-69,36,-35,97,-46,-40,114,184|197,12,-58,-4,165,-7,-95,82
-151,-19,9,-174,63,159|109,132,114,-115,33,69
184,-48,11|61,-27,-113
90,-169,44,-92,104|-6,180,157,159,-152
-141,-121,184,-108,60,178,-79|111,34,-97,188,134,-178,198
191,-151|47,-53
99,23,55,-115,76,159,38,69,-43,12|87,114,-45,77,140,166,-20,-72,33,10
133,169,2,-167,-132,118|-183,1,-145,-171,-62,-125
-165,-158,132,158|69,-192,47,-116
50,126,-122,115,130,-54|-172,-188,-118,-188,-89,36
-5,149,63,140,-123,9,41,40|7,-63,-41,-111,23,-23,181,51
-22,9,-34,58,-69|179,-53,-196,-162,-162
114,187,-110,198,-127,-30,68,169|113,-179,-19,5,-168,-105,-140,26
175|-174
-8|-196
133|115
-86,190|-161,-124
-35|-43
65,-186,60,-96|-21,141,70,-198
-107,-169,103,104,40,145,-71,191|157,-187,190,30,-184,-11,-38,-30
-116,109,65|158,-78,-178
154,-193,-154,162,-170,-177,25|79,119,-149,74,-161,-189,148
9,53,42,59,164|53,-17,-196,111,191
-192,-69,-64,134,60,-80,15,-18|130,145,-164,160,190,-168,189,25
-144,-187,-71,-17,-48,113|163,-49,43,-87,-137,-108
-190,163,-94,-200,-45,169,59,-152,178,181|162,-143,-16,62,-116,18,-64,-148,-30,-185
190,68,-109,-40,-154,165,-93|-196,58,102,28,-174,-76,-82
168,-125,-98,44,136,-163,182,13,-25|-130,-133,145,149,-48,19,-187,18,5
-47,-174,-57,85,-3,91,-162,117,22,56|-155,-11,160,-71,10,118,-85,-86,-92,-43
-66,-193,-58,158|91,132,-138,-128
26,-101,119,-14,-87|-109,152,-50,-176,-23
95,-100,-22|-129,108,-60
170,-86,-103,165,89|55,49,104,0,-133
114|104
-46,165,92,-19,186,181,-1,137|-141,117,127,-161,44,-25,-48,135
7|48
-188,-23,-86,-104,-100,-80,152,18,123,-84|-120,109,72,72,-123,-105,-29,-109,-118,-195
18,-185,-132,-7|11,-63,15,77
-15,-34,-83,16,-62|159,-18,-20,-16,104
-107,154,34,-162,56,-80,-184,198|-91,-116,-178,-112,117,-9,123,146
99,61,165|32,-142,-8
163,-126,-171,-194,-193,-182,-7,-84,29|-48,41,50,-125,164,-163,-61,-157,8
-161,35,86,70,-165,-194|-84,144,33,41,194,-5
107|136
-47,147,9|51,163,86
117,165,150|68,150,183
-13,7,-28,26,-37,-95,10,-13,-171|168,128,-177,-61,165,160,-89,10,188
-164,172,171|-113,93,-164
122,92,26,-139,-138,-32,-51,119|189,130,76,87,-107,-3,143,24
28,14,-25,-11|33,4,181,102
15,170,-19|85,-125,-150
-186,-20,94,80,-194,-84,118|174,-152,-47,137,-137,113,-93
137,-184,145,45,-41,190|-113,-119,177,-182,63,-40
136,-67,117,91,182,175,44,45,-54|-124,-74,30,-164,10,103,-197,-83,-89
150,83,-88,72,-19,159,182,54,-187|95,159,-38,52,173,-144,2,99,-43
-43,171,4|-19,-111,159
-21,86,-120,106,-76,75,63,-56,-54|-168,-137,79,124,36,-186,130,5,-101
9,-56,-162|-129,164,-144
-90,-30,-13,134,-40,-8,50,-92,-11|-127,-154,147,-135,144,-75,130,-15,-123
-76,60|-184,85
81|-173
-10|133
115|115
-8|175
-175,139,29,-121,180,198|-169,33,-150,41,-3,185
33|51
-15,-20,136,79,-69|111,-161,-122,-45,-150
167,-146,72,-56|69,138,-138,162
-20,-143|161,-61
191,126,-40,-172,-25,-119|89,-111,175,-33,147,31
-143,172,-174,45,18,-90,68,-102,48|35,-125,-13,-194,146,-158,-186,13,146
166,23,-187,35,-50|-18,14,-194,159,-159
-122,-93|-17,-44
156,127,14,-96,183,151|-194,-186,-3,87,128,-118
-131,141,55,-9,147,-185,-194,-50|-132,-78,84,95,186,27,-146,176
-28,-84,-35,171,183,-117,95,-29,124,46|14,-196,124,120,67,125,-144,77,-146,18
90,-79|30,-8
72,-171,37,150,-171|-5,-141,2,10,-47
-1|145
6,-56,6,-147,-175,43,-14|125,147,-160,-59,156,-96,-86
165,161,41|194,-56,199
-148,189|152,-124
197,86,159,155,137,-94,102,86|172,112,-63,87,-192,-95,-53,100
66,112,187,-101|-24,78,8,-64
82,-90,56,-129,-66,154,85,-82,111,-144|-138,22,172,118,-158,151,41,-30,-38,87
-144,-30,-179|-1,88,-157
189,177,-115,-81,4|104,186,84,77,-177
-129,-158,-114,137,199,-86|-153,-167,48,134,-88,-103
2,-132,-38,-93,-113,50|-71,-47,-129,160,187,-102
-109,-95,-138,62,29,86,-18|186,184,149,-70,-127,178,-48
13,109,-35,-179,-36,198,-49|69,189,-138,-81,-166,187,-37
112,-160,-20|-77,-166,-92
-35,-197,114,-175,-153|98,183,196,-58,199
175,-120,-132,130,-10,167,-113,14,-148|-132,107,-134,121,43,66,94,-155,-106
-15,-150|22,-183
-190,-126,171,-7,13,149,-144|-132,200,87,109,30,95,59
94,-39,-122|121,-67,149
69,-110,-66,-104,-30,-34,-4,-156,-176|118,39,-91,-167,164,174,94,-42,-38
90,61,103,-27,46|94,-116,-45,149,-200
-150,146,142,173,176,187,121,175|21,-187,86,16,-15,120,92,-25
-26,-104,61,-34,-84,130,134|139,-76,-111,119,170,143,-183
1,64,34,-55,-146,155,-123,38,153|57,-148,-181,189,-199,6,68,-87,-127
-188,-198,101,117,124,39|123,156,-195,41,-179,-157
-154|9
190,-190,-132|18,154,-136
-155,78,-137|-152,-98,-19
48,99,44,55,-111|-181,-71,141,137,58
-123,-94,-121,-18|-119,-24,144,-52
40,124,-13,-200,-11,73,112,-163|-19,-14,139,-197,1,-130,-55,-189
-13,122,22,-167,-172,84,41,-28,96|83,-101,91,-44,-112,-46,135,-185,-197
-102,195,124,148,-116|128,-172,117,-183,-193
84,150,90|-92,-3,35
-52,133,105,-13,-161,54,-163,4|-146,-111,-40,-79,193,63,138,125
-17,-45,122,192,25,76,-77|-162,169,-74,-193,-198,13,-79
-73,-190,-84,179,53,98,-87|62,-53,-107,-177,-149,-196,197
21,-48,-8,-35,199,-117,-105,-176|155,-32,-162,112,0,-8,73,-48
140,-110,-65,-196,-176|20,66,-124,24,186
-81,-53,-47,64,122,105,167,-39,89,-112|110,-155,82,45,-103,-4,60,174,-196,93
-58,29,-32,155,-189,48,-54,-174,-66,-90|151,197,70,-54,-164,-151,40,-26,56,132
-64,171,17,74,45,-168,-97,0,-71,87|26,109,-156,62,-32,162,135,-19,150,-51
164,-20,-29,131,-164,-120,169|-133,48,-122,144,102,36,189
151,-194,-47,-29,-107,45,162,17,-11,-89|37,-188,18,-16,-102,-25,-64,-89,-138,143
99,98,-126,96|-112,-70,-44,5
36,36,-3|-1,26,130
-190,40,-102,167,-161,-87,-65|180,78,-125,23,-159,183,-89
167,194,-25,-143,-21,5,-141,91|91,187,135,-143,68,-103,48,15
161,-156|-90,22
-159,-119,152,-12,74,-70|-23,169,-125,-181,98,38
-49,52,76,64|79,3,21,-17
-45|31
144,163,-147,90|-18,126,16,27
-37,-115,-121,-107,-74,52|1,-91,165,155,5,84
-191,-148,-69|-42,-114,-94
130,20,67,-46|-93,183,13,-124
148,128,136,-133,-138|153,-174,130,172,79
-70|-62
-85,-57,-64|-59,22,181
-102,77,-15,168,63|73,114,-8,93,55
-186,-172,148,58,-186,-178,91,174,105,183|-108,-57,-108,192,-34,-107,53,-111,149,163
85,-194,-75,-66,-2,129,74|-189,156,-38,198,-74,101,-88
-4|133
-195,-193,149,-36,77,99,3,-115,-101|-106,177,-41,87,76,52,186,64,66
-94|-131
102,-68,-99,-141,-164,-57,-167,9,-25|133,26,56,-195,128,199,-101,-105,-33
192|165
-94,196,-126,-167,182,140,72,-25,-157,10|-180,-175,-114,-127,-188,194,46,-90,-43,-92
-126,192,46,-105,41,-37,-121,149,83|128,149,15,199,-144,196,-129,-21,101
-147,199,-102,-113,-42,46,148|46,-5,96,-58,-68,-6,128
-141,181,-34,86,54|91,196,-86,-12,121
-73,32|-191,-198
162,103,-49,3,-148,-140,184,-190|-179,183,-111,-99,90,-36,-189,195
-112,-117|-142,145
-41,-121,89,64,8|80,-30,-87,18,-135
184,171,30,-5,-151,-7,79|22,-128,19,-198,-95,35,-154
-101,2,-156,-29,-123|-97,-59,8,-67,-128
29,138,-95,186,119|-120,172,-68,-70,-55
93,148,-154,-36,175,-95,44,-22|182,197,-74,-106,-174,-62,-80,134
-98,16,187,-120,32,-46,60,132|-51,-114,-189,164,-49,-67,-119,-81
115,-170,171,55,105|135,18,-29,-138,-132
157,-176,-86,164,-57,44,-158,-94,47|139,-22,-72,-151,-43,185,23,20,-19
76,-124,109,31|-61,-60,-86,-4
-156,-161,148,168,-138|69,167,175,-152,-85
-147,-126,-68,-37,1,-66,156,132|174,142,-190,-148,-185,29,-22,-62
33,-62,186,-198|-104,86,-90,19
-138,-140,-157|-143,-156,-86
200,81,130,-133,-40,-33,-118,59,-71,134|160,-149,-14,-59,132,-112,119,120,-105,103
85,27,75,159|-126,-162,8,8
118,-180,-86,-71|-28,150,75,193
-175,-110,137|148,200,-8
152,95,100,-31,153,106,71,132|74,16,-196,186,-167,-125,-149,-84
145,159,-6,133,-28,123,161,27,35|-189,-57,53,95,-157,91,118,-102,-167
71,-111,79,91,-157,139,90,123,170|11,62,-122,140,-100,-138,-28,-104,-60
-62,39,99,3,186,75,122,-28|-183,-132,-131,-188,174,-185,-185,-68
-187,-81,69|93,-193,-76
-41,-152,-182,-167,-174,199,172,-41|186,111,-131,57,118,70,3,-45
5,164,191,106,-125,-143,94,-176,-122,66|-182,54,122,-190,15,36,-104,-182,-50,-82
197,77,-168,197,-167,68,-93|-157,23,118,-194,18,-39,-129
37,136|124,-59
80,-184,-184,129,-99,41,-156|-25,181,-99,-148,-174,-190,-82
88,-21,115,129,-96|-197,21,-62,-8,-195
74,109,124,181,49,-6,-132,-146,-126|71,-163,-58,-76,190,71,-139,-146,-95
95,-113,-29,-7,-178,115,-154,-52|-20,0,5,-158,200,-91,-174,44
-58,-156,110,199,72,-190,-6,-54|-125,-154,121,71,-166,-8,44,-44
-156|157
-149|-43
143,124,137,-51,119|149,-178,-163,70,-15
95,-89,134,111,-141,24,-73,125,53,160|75,-75,-35,145,100,-44,72,22,-113,-181
-197,-101,-131,147|-32,-43,113,148
173,-121,-111|74,-137,-1
123,114,22,32|-21,107,146,-6
175,149,132,-26|-81,119,158,40
-65,147,-65,130,36,-198,-80,-168|-113,200,57,-131,-130,43,-96,-5
-108,75,-47|148,-11,-189
95,-128|172,90
-21|-21
-9,36,-144,140,147,36,76,-190,42,185|-158,17,25,-120,-101,-166,-44,51,184,96
-118,-28,104,200,6,121,-40,181,-120,-134|-12,41,-125,-185,78,-89,67,-115,-160,-64
-198,98,111,195,135,-62,-46|11,-182,120,-119,97,27,177
-193,50,66,107,-77|-62,151,144,-5,109
-193,169,118,76,192,-162,-142,192|97,-180,-57,-162,-13,-8,-32,-172
16,55,0,-40,-11,-192|163,67,-65,6,-46,7
-80,131,-102,-51,197,14,55,-150|68,132,-114,93,-113,115,4,-168
-37,-134,34,43,186,2,-156,176|7,190,160,-9,-164,-26,-180,132
97,-52,100,-139,-83|133,182,176,-99,160
129,116|30,126
135,-15,53,151,36,45,-110|-195,162,-135,-171,-125,-162,130
179,99,-65,179,-197,115|-62,102,-89,-34,-199,75
37|197
-169,-96,88,-196,-120|-145,10,69,137,-45
-193,139,128,118,-125,-62,61|-198,-146,17,-28,91,-21,155
-103,6,-128,-135,142|-124,133,-79,-8,-154
-94|186
-27,-150,28,-43,12,20,-12,-57,-199|182,92,-194,11,163,-54,-130,29,-30
-181,171,104,190,16,154,152,91,74|118,-131,-133,-96,-3,129,135,-175,55
191,150,-171,10,-32,-98|151,-33,157,42,165,-66
-57,-81,-15,82,87,-127|-76,-66,-13,87,-102,-2
101,-72,-101,-60,-53,-117,-88,-78|-107,-21,110,-125,-147,-124,-104,187
-180,-107,-141,-128,-103,8,125|40,-29,-75,-14,127,58,141
138,120,77,57,-7,-81,57,19,19,75|-97,-123,-138,20,197,14,39,149,-149,-178
-25,134,166,156,-63,-114,-177,47,-195|122,-74,-127,-65,56,67,-91,138,-112
138,177,25,-110,142,-19,-191|-28,108,-71,143,133,62,-38
71,127,150,-3,153|142,-124,-185,-173,-108
-26,-138,-1,71,42,-83,-98|172,-86,22,-131,6,-138,-111
-189,42|116,-29
-179,-53|-42,152
-132,-108,76,105,135,-102,1|-75,-33,-110,-100,17,80,-64
-190,-134|-191,-129
185,-138,6,-77,125,142,-153,144,140,88|-65,-133,-184,56,-76,-99,44,104,28,-112
193,-141,-39|164,-105,-30
-31,-16,133,-24,33,-51|37,-164,-175,35,0,37
19,131,-107,178|31,44,47,102
-91,-85,144,-157,-85,181,-65|19,-144,195,-3,-199,-149,-79
39,84,-68,-158|164,-193,158,-180
-188,-34,-179,-59,-112,11,107,102,37|-23,-120,156,23,-136,19,184,144,-159
47|172
29,68,91,20,160,95,200,-98|137,65,-24,148,-34,4,128,146
-38,-180,196,-120|-29,-95,-88,172
20,-29,-94,-105,88,35,57|-123,190,88,9,69,130,-141
195,-177|59,-198
-78,47,-13,-166,-41,41,30,58,-45,71|-26,112,9,-65,-124,94,192,-49,-129,-122
33,145,69,121,10,68,180|47,132,-60,88,-160,93,150
166,190,-67,75,-91,-31,-170,-79|96,-179,-69,-146,-33,184,143,101
-5,97,-173,23,-32|167,-183,-116,-142,165
170,-176,10,16,135,7,-164|152,-36,-195,-14,-112,-80,59
-3,-137,11,142,145,-21,-3,-60|183,-99,154,62,113,-143,-82,134
-144,-181,-101,-168,23,-176,113,158|196,148,-12,9,124,158,106,68
167,151,138,109,-146|-199,-189,-180,0,81
-156,-172,-80,-140,-198,-181,110|183,-185,135,188,-193,-122,154
-4,66,-55,-78,-105,-162,147,-64|-32,-180,55,85,150,114,-105,-8
-131,-18|-46,-54
94,-74,-39|136,-40,107
-28,-67,9|77,-108,-177
175,186,-117|-176,37,127
-26,-140,-84,159,-93,49,173,125|70,-193,173,-29,41,176,16,29
27,185,-99,-110,-91,175,139,68,-164,-162|-75,39,97,-100,15,127,-184,-7,97,-178
-98,1,194,-99,-92,169|172,68,-122,96,-65,69
-76,-140|-169,160
69,-99,61,92,-17,103,170,-62|-51,-18,-41,87,104,-57,-92,57
-151,-81,23,-142,-77,-55,-149,111,-130,131|188,149,45,-128,41,147,-110,-24,34,-12
-48,-97,-6,-44,-21,-10,151,4,184|130,45,41,26,-31,56,71,-78,-157
-74,-174|-191,-88
190,-119,-200,-60,-188,-108,-78,-8,112|-161,167,12,-121,-34,157,175,47,-83
-162,165,-98,-175,-23,104,-27,-18,178|126,57,119,-30,-73,-117,-99,-84,-31
141,136,-153,63,-51|62,-67,183,122,-117
25,-25,196,-81,-64,-99,-152,-101,107,-157|12,57,181,55,-119,-152,109,-197,-30,-23
75,-199,-125,-68,103,-83,49,138,12,168|-36,63,-95,-143,166,164,139,-66,93,66
128,-75,-162,80,65,97,-97,-68,64|-124,-135,-153,-89,-115,109,161,-106,13
-180,65,-183,192,-181,-20,-200|-19,-181,-33,-128,179,-89,29
71,148,-73,9,-36,-168,170|-159,7,-67,-146,-181,77,91
121,157,-41,119|92,69,-174,69
-149,-160,57,136,-178,165,-51,-5,86,-72|29,189,25,9,92,-114,-15,-138,-82,-5
-175,-53|153,64
-73,124|199,-172
145,-78,-99,85,-106,-102|73,172,-4,146,-97,65
9,97,149,-198,-113,-74|51,-8,165,-152,-105,76
-167,57|-139,153
-197,-109,189,-61|-191,80,-68,-106
-158|-133
-8|105
177,-91,128,48,70,22,129,140,-158|77,15,21,-16,-105,181,140,103,195
-198,166,162,25,-160,-42,-88,-96,18|183,-153,-137,-200,-156,-30,14,-53,62
-132,-89,21,-142|43,-197,18,-4
-94,3,-97,-133,88,-46|-2,-28,76,12,6,-17
-8,-79,-115,-41,-56,89,175,197,103|-19,51,-197,-28,-96,-31,58,22,79
159,-82,-156,199,-172|-127,84,81,-98,43
-43,-80,41,132,-67,128,-157,-60,62|107,-73,171,-13,21,181,136,23,58
-95,176,159,79|-178,31,-197,-69
164,158,-56,-128,-72,-6,18,56|16,3,-32,163,-152,145,181,-107
-106,-116,188,75,-140,-73|-12,-173,-32,2,129,98
-144,-48,-92,-164|193,-76,-130,61
-173,-19,-174,-17|145,-185,49,-149
69,-74,-18,117|-58,44,-7,119
116,118,0,-141,27,174,-2,129,127,143|-112,-178,19,-196,-28,120,-165,182,67,-123
74,-134|127,-108
107,179,-42,-17,-114,-75,3,81|44,-65,-194,24,162,19,131,165
34,-188|-73,41
-179,-190,1|-49,-193,-64
-200,29,7,-69,158,95,27|152,-155,150,31,15,83,44
187,33,149,180,-3,129,-72,25|33,-28,-47,118,-187,58,-72,-46
96,-193,73,-197,23,-119|117,-158,-74,43,149,178
-200,-18,2,-38|-113,162,-28,-33
155,98,108,-118,0,-49,-195,-100,129,-128|-100,23,-175,-53,-77,70,-37,-175,15,185
-84,-100,-53,133,67,-34|65,-138,154,-27,-128,-87
154,-6,97,-53|-4,-18,73,-126
-111,198,97,-143,-190,-148,-1,-39,-153,84|-193,-167,114,-189,28,-39,-134,-51,-19,116
-74,-120,66,166,123,63|-27,22,-141,178,-8,-167
-3,178,-112,69,-91,103,63|170,-4,-13,-1,-28,-81,107
50,-77|-100,135
-28,195,-186,78,-114,199,42|-76,189,-152,-48,-168,-57,-7
87|85
160,-159,-127,-178,15|49,172,129,155,-199
-16,-1,-136,64,-62,179,92,-93|75,-61,-186,-6,197,-39,-45,-29
55,181,147,125,-116,45,18|126,13,7,-62,-141,38,-92
24,182,114,192,-63,-186,54,73,84|103,37,180,-190,-104,-153,-85,-179,50
101,157|53,-20
-45,135,-127,159,-119,110,25,-143|-53,-189,123,-170,-198,-23,-131,6
-9,-154,-18,-150,-188,-114,-11,-119|-137,25,2,120,-43,76,-72,-48
-9,-166,59,143,190,37|-154,-50,79,189,-150,-62
114,-2|-41,-58
-195,-86,40,104|37,-66,100,-103
-38,-167,105,-106,-120,-14,-56|-97,-151,137,-10,-200,-98,119
66,86,126,145,47,-183,137,152|199,179,67,28,-2,-160,134,14
-198,163,-181,-75|-139,-164,-145,43
113,-36,-4,128,23,82,82,64|80,-9,-46,42,-118,-113,7,30
150,-36,138,32,-7,186,52,119,-174,-143|-12,140,-122,147,174,-184,165,186,42,-190
-111,91,-152,82,-43,-84,44,-25,174,-55|198,157,166,-144,-166,40,37,53,17,-60
117,-195,-14,16,-123,-179,-39,-187,-4,-96|-175,-142,-169,-105,60,-56,191,10,145,98
-148,-61,-145,39,54,152,-9|-3,194,142,-60,-2,174,189
111,140,99,-170,-199,146,30|-27,-153,38,-96,-116,194,-189
-91,-137,192,194,160,169,9|-31,11,148,165,30,-135,-58
-61|-135
-67,-54,-40,-175,23,32,-174|-14,-172,-113,-70,-83,-130,68
102,131,-192|-25,-98,-117
48,13,124,117,128,178|180,189,83,187,-97,110
-141,-198,96,-149,17,72|131,68,50,-64,56,188
119,-62,72,-4,90,40,74|119,164,-135,-124,-54,51,190
71,-167,-29,-85,170|188,168,145,-199,16
25,103,69,199,117,73,89,163|-61,17,-25,194,-165,-113,55,-19
-10,-133,50,92,-141,-68,81,114,189,-14|43,108,189,146,-148,-107,48,-191,-120,-197
36|-181
-40,-87,-158,-55,-175|31,70,-179,-176,-56
-51,24,-199,192,-49|-12,126,-54,-200,3
-169,176,-171,100,-90,-139|-193,0,38,156,-79,-67
89,129,66,-77,161|-57,-14,-17,-23,80
-21,24,196,23,111,191,-195,169|159,101,-111,-81,199,13,177,-9
-35,-46,-124,-61,-62,75|37,178,-146,100,191,-122
-15,144,126,-118,-8,19,-16,-81,-4,-126|-55,-193,-134,115,-130,1,55,118,-165,-108
-129,23,-135,-195,-136,-141,189,85,131,34|-120,67,32,-63,-135,90,179,16,194,181
190,189,-73,44|23,-48,5,103
-116,76|196,117
-61,108,-136,-49|64,-30,105,-91
23,-40,109,167,-96,157,149|-85,174,-195,27,104,-63,-149
17,160,73,-49,172,170,148,-55|-78,-131,29,-46,-178,-73,-149,-199
158,-188,97,-3,6,82,-158,193,-23,-118|52,-143,62,-142,53,-7,41,-62,-81,-196
149,-77,-122,-154,-27,185,-2,90,156|10,96,142,11,-164,183,-62,48,-22
170,129,68,-131,-181,139,-185,-46,-89,-40|91,31,154,-164,-4,-173,149,-182,194,-76
-115|-191
-179,-177,99,-82,-53|-52,157,23,182,-129
8,-38,82,199,-64,7,-156,-154|4,-13,108,50,21,-8,108,-67
-193,61,-138,-150,-148,-151,38,196,-58|-67,156,128,-194,-117,128,29,-193,63
-73,38,-2,35,-136,-12,-152,183,131,-72|-44,-133,35,-38,-7,60,126,-66,-42,184
-62,-156,62,159,109,101,-65,-146,14,2|-97,113,155,-28,-138,49,105,-124,184,68
136,-83,81,-146,-74,89,-31,-168,-32,-23|-137,-72,157,173,-150,-24,148,161,-76,178
148,-159,-106,36,-85|67,-127,14,-198,-54
-178,-64,-10,189,3,128,-114,161,149,30|-11,165,90,-60,56,-3,140,182,-160,-72
-116,-128|22,-45
11,136,-53,-46,-31,19,5,-86|-141,180,-57,-83,-187,-15,120,70
45,174,105,-68,-185,50,47,61|-132,-83,44,-80,58,-139,160,-167
-7,-16,-41,-164,-67,-133,-56,-184,169|-163,198,198,-128,145,-69,-111,-105,-97
144,-74,-136,-184,-147|181,-141,93,-117,159
185,78,-90|-62,4,-198
114|77
-75,-77,164,-112,20|-198,-181,-118,151,85
-185|-16
-63,25,170,177,-174|-199,106,-180,-190,56
-156,-146,-146,-10,-1,174,-97|51,9,195,-57,-1,102,-64
-175,161|-188,-169
-37,-138|38,187
-99,126,108,74|-27,-158,145,160
-94,-125,-176|-196,143,30
-186,84,35,93,-77,97|-75,0,-83,17,86,87
42|125
200,172,110,-160,186|103,-92,-77,63,-88
57,-111,-195,-158,93,53|-195,94,176,-121,-104,70
-56,161|23,161
90,-185,96,-175,189,-145,-138|-74,-180,170,-179,191,-3,116
-9,64,-187|-198,160,-96
22,48,75,67,6,-123,-34,-38|-101,-38,-56,68,141,5,-55,-148
-148,170,-54,-125,-80,161,-169,-178,-87|-112,7,159,-69,168,144,112,-5,-133
-197|85
187,-17,-155,6,-200,-28,-86,161,-92|-88,-167,-40,-191,-8,-43,-85,153,-54
-200,10,-199|-46,58,91
59|117
181,-61,61,156,82,118|111,-138,70,150,-189,-126
-156,187,181,83|67,-79,33,44
-145,-118,-192,147|126,8,71,-21
-194,-91|-157,-115
-39,130,-178,-81,-9,-140,21,54,122,174|40,148,-141,5,58,45,-65,177,-104,88
173,133,-27,-113,131,127,-131,-23|-119,152,-152,-108,-123,129,32,90
17,74,-124,61,-155,196|-199,-155,-116,45,-144,-133
-119|-147
132,132,-18|177,-187,-78
-86,108,-122,68|119,135,164,198
123,-96,-102,99,196,33,-3,169,78|-132,92,-197,-88,106,110,-144,146,-162
145,87,-116,78,-2,-19,-46,-184,-38,-83|144,-153,-188,-126,-147,-5,-179,174,54,189
51,68,58,79|-118,98,-196,-116
16,-160,165,-109,146,-148,-34,24|197,195,-197,-126,-79,153,75,-186
-192,126,-29,-157,-127,57|118,-133,-119,43,97,-150
84,-98,-188,152,20,-36,-173,79,-162|-116,-135,-41,29,114,-189,66,197,-77
132,-91,122,-128,-117,149,186,-177,-148|-54,-194,-148,81,-140,-4,131,159,-122
151,102|-107,6
-7,-116,-174,-123,-168,166,-7,144,134|38,153,99,84,-93,132,173,67,-194
155,-139,-167,46,-155,29,-27,42|-77,95,200,-162,-176,-194,-35,-109
-41,-27,-179,84,114|-62,-28,147,98,-99
151,-151,103,64,-107,-2,-170,138,-47,-47|75,124,140,-50,-86,-167,-52,78,13,63
-35,94,181,136,101,-55,114,76|-181,-168,147,79,129,170,-181,65
128,170|-55,15
